"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"recThUKCUORkgTCg8","Penguin Publishing Group,  (England |  |  | London |  |  |)","Penguin Publishing Group","['recqdvLDX4FnsD7mI']","['recTOVIQf10xaO2Am', 'recr65H4RppGz6dek', 'recqDhB7uJsWxwxQh', 'rec5FVa5SdU2uKeAs', 'recyE0kbGuncB9cDt', 'recteLAkxbzqWTgAM', 'reck2xyOzCsLipMRq', 'recMYjSplbrzaKHRk', 'reckTUKqzyLCvYwyL', 'rec5MAjEEOxiwb3MC', 'recq9m6cRMML4dmRJ', 'recSmWS5MrRx9VtXx', 'rec9EFEe7RPLQcQwv', 'recIfaeRWAPfqAeZE', 'rec1RDuO92H0PjySl', 'recjbsYY1xywN523y', 'recABf6IA4sqsvKST', 'rec6RNQerWjBLJ9mJ']","18"
"recIygIqo7A9wrjSE","William Blackwood and Sons,  (Scotland |  |  | Edinburgh |  |  |)","William Blackwood and Sons","['recOPJpt1V4mPFydt']","['recaqe5FhVjAujZIa', 'rec67VAUZwK4n5EvC', 'recLwyHWiZsg9I7lh', 'recGrHcgVQG0isR4o', 'recHmurrjASonCzZn', 'recizSwZgLz4DOQx6', 'rectZrKvWczr7bdJT']","7"
"recWEcJ7TFPmMYblz","London Magazine Editions,  (England |  |  | London |  |  |)","London Magazine Editions","['recqdvLDX4FnsD7mI']","['recEZdBtntPSLCmkP', 'reccDCzCnANhTxe8t']","2"
"rec0AYzsv4ROakeNj","Ceda,  ()","Ceda","","['recjgX4p1r2rQdgOF', 'recaipo7ebc7EsrPT']","2"
"recLncwk1yvRKzTIB","Africa World Press,  ()","Africa World Press","","['reclCOKFwLWhEcKXf', 'reca235iEvacqzofJ', 'recp4H9NYwfHThIYa', 'recjpvKpdnUgUcHmZ', 'recBH5Q8DTqerZV3J', 'rec2G6xRDEcpvVd3j']","6"
"recqzswVbz1bfZzg6","Holmes & Meier Pub,  (United States | New York |  | New York |  |  |)","Holmes & Meier Pub","['recqWqrNjE6c3GTCl']","['rec1DyM7muLsehlV3', 'recdv13kiWj9RPg6F']","2"
"rec3zeM80g8co4QGX","Aux Editions du Seuil,  ()","Aux Editions du Seuil","","['rec795WsBHRBXD2hs', 'recT1la5zTUbMSdwp', 'rec5EkziJGdgGQDdP', 'recXYocolR9H1iPw2', 'recV9MVOAMajyfHHb', 'recHyumb5QVLg93uq']","6"
"recF4NEUGeLXqyaAK","Henri Vidalie,  ()","Henri Vidalie","","['recN1PlA6lJYuC7sL']","1"
"recMSeqTcNoKXxy6a","Killie Campbell Africana Library,  (South Africa |  |  | KwaZulu-Natal |  |  |)","Killie Campbell Africana Library","['recTF4mq7cznKe7gv']","['recj2g45hqEiU9taq']","1"
"recrSGSa1sTci59oL","Secker & Warburg,  (England |  |  | London |  |  |)","Secker & Warburg","['recqdvLDX4FnsD7mI']","['recbGQhPo0sFB6dBl', 'recYhN5srxRJXhyYn', 'recxQelLgUGuX73Ws', 'recUQt3TMJU49LJSP', 'rec2BcQBYkPaHipej', 'recVLrqfhiSxzu01W', 'recZmCECULJ4yuBbb', 'recFThGTni9BbCFs8', 'recOFAnnO8ekrcFdT', 'recfSr1cX7RnQotne', 'rec5yoLoRe0dMxf5W', 'recFYPU1ilNrXOoAV']","12"
"recqMdo3yMds3VHmg","HappenStance,  (Scotland |  |  |  |  |  |)","HappenStance","['recse0IOzvcDHaXAe']","['recrozqkOilRNq6dJ']","1"
"recFVfGuXpYSToT8y","Evertype,  ()","Evertype","","['recTaebmWnD3JamPE']","1"
"rec6sNX6gdEu4WG7S","Northwestern University Press,  (United States | Illinois |  | Evanston |  |  |)","Northwestern University Press","['recDHwilpOuBoMj63']","['recjYGxvCRNjkImlL']","1"
"recC9sFvBrouVi7J2","Yale University Press,  (United States | Connecticut |  | New Haven |  |  |)","Yale University Press","['recvlbVBvnyEfhN2U']","['recVW98Srz7nfTonn']","1"
"recWwpRXPSg7r8O1r","University of Nebraska Press,  (United States | Nebraska |  | Lincoln |  |  |)","University of Nebraska Press","['recVik2Il20TxnOtG']","['reciMNOU725Btc141']","1"
"recAuR0DtmznfSixl","Carcanet Press,  (England |  |  | Manchester |  |  |)","Carcanet Press","['recezUcdr4tMiAXwB']","['recAH4fza7JdckvJE', 'reccAnYf8cFsJ1OrX', 'recmUCnp8Ce0jNiZG', 'recOAEPUveak7pjsS', 'recCjupCROJxzA9o1', 'recFBG1KzARTp4djY', 'recPop72u3Y0llOhw', 'recJEIupw3efMPsbk', 'recUozQR9qgRlLpR7']","9"
"rectH3tRHQF7uiE7W","Ecco,  (United States | New York |  | New York |  |  |)","Ecco","['recqWqrNjE6c3GTCl']","['recsc8hJA9sMMBRlN']","1"
"recV9IxmrFASlv6Xz","Forgotten Books,  (England |  |  | London |  |  |)","Forgotten Books","['recqdvLDX4FnsD7mI']","['recnAoFIZjRb77eTw', 'recOmBy8JCQ7dG3tl']","2"
"rec1T4oa00MIylKeV","Fifeld,  (England |  |  | London |  |  |)","Fifeld","['recqdvLDX4FnsD7mI']","['recLI45Qn8dOHshtY', 'recsy6DIn5yydh65I']","2"
"recPQWEBCjP285yD3","Pall Mall Press,  (England |  |  | London |  |  |)","Pall Mall Press","['recqdvLDX4FnsD7mI']","['recernQ0hZzYvEuZC']","1"
"recW2pTDSRlLApYgk","Europe Poesie,  (France |  |  | Paris |  |  |)","Europe Poesie","['recJVFJjSos0pByqm']","['rechhtN05Cn6eLl8Y']","1"
"recilcqB7laDwp4pK","Impr. Liva,  ()","Impr. Liva","","['rec4SMGVOgb3bU4TY']","1"
"reclElLO2AunYGW6F","African Development,  ()","African Development","","['recBu87AKWzqdW5pP']","1"
"recJVi9ZSlrrhYBUg","Constantia,  (South Africa |  |  | Johannesburg |  |  |)","Constantia","['receqvJHUxo7fwpt1']","['recGe9BiYl35AIi7R', 'recqp2ZY2p6MmH9qi', 'rec0JE80stNaj945x', 'rec7Hdk1BlUSBShQy', 'reczNF0SWnmnewFA9']","5"
"recLlNQUGOys2C6an","A. A. Balkema,  (South Africa |  |  | Cape Town |  |  |)","A. A. Balkema","['recaFh0XjN5t82tvf']","['reckqQCnmsMwzfodm', 'recVvHxMBFURLZuHA', 'recDAAqRuQfzxR9vb']","3"
"rec6xy9ik5s7rLN09","Nasionale Pers Beperk,  (South Africa |  |  | Cape Town |  |  |)","Nasionale Pers Beperk","['recaFh0XjN5t82tvf']","['recl1K9f78aDeMFEE', 'recflDA8N9ipGnDg2', 'recyBu1FABgV3ik0i', 'reczBwRnVizmb6nxZ', 'recMMAA6erPcbMmGJ', 'rec0lQAiwFg3AC8Ql', 'rec0s11oquxyz06RQ']","7"
"rec5v1FCHwC21w30e","Dagbreekpers Beperk,  (South Africa |  |  | Johannesburg |  |  |)","Dagbreekpers Beperk","['receqvJHUxo7fwpt1']","['reciFxNTdUKGg0EUe']","1"
"recSlNZF8lUoEe4fo","J. L. van Schaik Beperk,  ()","J. L. van Schaik Beperk","","['recNKDsdhiBkv65Vt', 'recDr7JOtgvmglJ25', 'recUUKwfY3kY6Sk5t']","3"
"reca5vU9uOfthum49","JiaHu Books,  ()","JiaHu Books","","['rec1dnUzvzetAP1nw']","1"
"rec2QBz96ecKRMnea","I. K. Imprints,  (Nigeria |  |  | Enugu |  |  |)","I. K. Imprints","['recjpM5vgBQ4VYIzQ']","['recDXT27lkORGPXBN']","1"
"recNWHt6ldGWZUUCm","Hutchinson & Co. Ltd,  (England |  |  | London |  |  |)","Hutchinson & Co. Ltd","['recqdvLDX4FnsD7mI']","['recrOoMLr3SeCYquz', 'rec4Xb5xguTU1MiFi', 'recwAUIZK0TinW6py']","3"
"recpAm2PzFTq91Mx9","Random House,  (United States | New York |  | New York |  |  |)","Random House","['recqWqrNjE6c3GTCl']","['rec9nmFUJfdjipbI3', 'recXwF1Zi1eVHdkpS', 'recUE6cRmVWJRjept', 'recrma3996jUAOQUh']","4"
"rec2bDTNeNstdrQIU","(T. M.) Maskew Miller,  (South Africa |  |  | Cape Town |  |  |)","(T. M.) Maskew Miller","['recaFh0XjN5t82tvf']","['recIwNoiYhzR7pdV8', 'recCZmYLpDjpRO8hY']","2"
