ID,Last Name,Given Name,Alternate Name,Featured,Country,Region,Gender,Selected Works,Authority,Text,Notes
ap.per.00179,Lawo-Sukam,Alain,,,Cameroon,Central Africa,M,,,,
ap.per.00180,Leite,Ana Mafalda,,,Mozambique,East Africa,F,,https://viaf.org/viaf/310659233/,,
ap.per.00181,Libsekal,Liyou,,,Ethiopia,East Africa,F,,https://viaf.org/viaf/316802225/,,
ap.per.00182,Lima,Maria Eugénia,,,Angola,Central Africa,F,,,,
ap.per.00183,Losambe,Lokangaka,,,"Congo, Democratic Republic Of",Central Africa,M,,,,
ap.per.00184,Lukau,Amy,,,Angola,Central Africa,F,,http://viaf.org/viaf/316802226,,
ap.per.00185,Mabanckou,Alain,,,Congo (Brazzaville),Central Africa,M,,,,
ap.per.00186,Mabasa,Ignatius T,Tirivangani,,Zimbabwe,East Africa,M,,https://viaf.org/viaf/58730700/,,
ap.per.00187,Mabejane,Refiloe,Letokoto,,Lesotho,Southern Africa,F,,https://viaf.org/viaf/285508745/,,"has a book ""Strawberry Lips"" (female poet from Lesotho)"
ap.per.00188,MacGoye,Marjorie Oludhe,Marjorie Phyllis King,,Kenya,East Africa,F,,https://viaf.org/viaf/33111942/,,
ap.per.00189,MacViban,Mwalimu,Johnnie,,Cameroon,Central Africa,M,,,,
ap.per.00190,Madani,Rachida,,,Morocco,North Africa,F,,https://viaf.org/viaf/17451550/,,
ap.per.00191,Mahmoud,Fatima,,,Libya,North Africa,,,,,Found (?) in Banipal
ap.per.00192,Mahola,Mzi,Mzikayise Winston,,South Africa,Southern Africa,M,,http://viaf.org/viaf/65730318/,,
ap.per.00193,Majdouline,Touria,,,Morocco,North Africa,F,,https://viaf.org/viaf/63587128/,,
ap.per.00194,Majen,Ben Younes,,,Morocco,North Africa,M,,https://viaf.org/viaf/37005421/,,
ap.per.00195,Makisosila,Mawete,,,Angola,Central Africa,M,,http://viaf.org/viaf/54250626,,
ap.per.00196,Makoha,Nick,,,Uganda,East Africa,M,,https://viaf.org/viaf/24154381017330292053/,,
ap.per.00197,Makombo,Bamboté,,,Central Africa,Central Africa,M,,,,
ap.per.00198,Makuchi,Juliana Nfah-Abbenyi,,,Cameroon,Central Africa,F,,,,
ap.per.00199,Malan,Lucas,Cornelius,,South Africa,Southern Africa,M,,http://viaf.org/viaf/62964608/,,
ap.per.00200,Malikongwa,Albert,G. T. K. ,,Botswana,Southern Africa,M,,https://viaf.org/viaf/77600595/,,
ap.per.00201,Maluleke,Vuyelwa,,,South Africa,Southern Africa,F,,https://viaf.org/viaf/41145003632961341470/,,
ap.per.00202,Manirambona,Thierry,,,Burundi,East Africa,M,,https://viaf.org/viaf/289491424/,,
ap.per.00203,Mann,Chris,Christopher Michael Zithulele,,South Africa,Southern Africa,M,,http://viaf.org/viaf/248129306/,,
ap.per.00204,Mansour,Ali,,,Egypt,North Africa,,,,,
