ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00130,Abdourahman Waberi,,Waberi,,,Djibouti,Eastern Africa,Anthology,M,,,
ap.per.00182,Hope Wabuke,,Wabuke,,,Uganda,Eastern Africa,Anthology,F,,,
ap.per.00038,Kangsen Feka Wakai,*,Wakai,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00357,Brian Ernest Walter,*,Walter,,,South Africa,Southern Africa,Index,,,,
ap.per.00382,Christi Warner,*,Warner,,,Namibia,Southern Africa,Index,,,,
ap.per.00252,Mubarak Wassat,*,Wassat,,,Morocco,Northern Africa,Index,,,,
ap.per.00292,Stephen Watson,,Watson,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00092,Oumarou Watta,,Watta,,,Niger,Western Africa,Anthology,M,,,
ap.per.00132,Chehem Watta,*,Watta,,,Djibouti,Eastern Africa,Index,M,,,
ap.per.00004,Ngudia Wendel,,Wendel,,,Angola,Middle Africa,Anthology,M,,,
ap.per.00121,Patricia Jabbeh Wesley,,Wesley,,,Liberia,Western Africa,Anthology,F,,,
ap.per.00304,Athol Williams,*,Williams,,,South Africa,Southern Africa,Index,,,,
ap.per.00111,Lade Worsonu,*,Worsonu,,,zGhana,Western Africa,Index,M,,,
ap.per.00369,Dan Wylie,*,Wylie,,,South Africa,Southern Africa,Index,,,,
ap.per.00303,Makhosazana Xaba,,Xaba,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00226,Ahmed Yamani,*,Yamani,,,Egypt,Northern Africa,Index,,,,
ap.per.00054,Frederick Yamusangie,*,Yamusangie,,,"Congo, Democratic Republic Of",Middle Africa,Index,M,,,
ap.per.00139,Zeineb Yassin,*,Yassin,,,Eritrea,Eastern Africa,Index,F,,,
ap.per.00212,Zahrah Youssri,,Youssri,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00219,Maged Zaher,,Zaher,,,Egypt,Northern Africa,Anthology,,,,—need to find something
ap.per.00198,Phillip Zhuwao,*,Zhuwao,,,Zimbabwe,Eastern Africa,Index,M,,,
ap.per.00189,Musaemura Zimunya,,Zimunya,,,Zimbabwe,Eastern Africa,Anthology,M,,,
ap.per.00271,Norddine Zouitni,*,Zouitni,,,Morocco,Northern Africa,Index,,,,
ap.per.00253,Abdallah Zreka,*,Zreka,,,Morocco,Northern Africa,Index,,,,
